person_age,person_gender,person_education,person_income,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,credit_score,previous_loan_defaults_on_file,loan_status
30.0,0,0,123321.0,0,25000.0,3,9.62,0.2,610,1,0
32.0,0,4,63354.0,0,16000.0,3,14.18,0.25,612,0,1
22.0,0,3,38371.0,0,6400.0,3,9.32,0.17,646,1,0
32.0,1,3,86024.0,2,14000.0,2,7.02,0.16,653,0,0
29.0,0,3,145058.0,2,28000.0,2,7.9,0.19,668,0,0
25.0,1,2,40665.0,0,13478.0,5,12.06,0.33,599,0,1
24.0,1,1,109243.0,2,5000.0,3,10.62,0.05,609,1,0
24.0,1,1,18022.0,0,4050.0,2,6.91,0.22,638,0,1
22.0,0,3,39941.0,0,3000.0,0,16.45,0.08,661,1,0
22.0,1,1,55265.0,0,2493.0,2,14.18,0.05,636,1,0
44.0,0,1,34111.0,1,3500.0,3,8.94,0.1,660,1,0
24.0,1,2,27463.0,1,3000.0,5,16.0,0.11,647,1,0
29.0,0,1,74099.0,0,15000.0,0,14.96,0.2,555,0,1
37.0,0,1,58779.0,0,4200.0,0,10.59,0.07,596,1,0
26.0,0,1,43017.0,2,7200.0,0,10.59,0.17,641,0,0
25.0,1,2,139190.0,2,19000.0,2,13.49,0.14,616,0,0
23.0,0,1,69984.0,2,9000.0,5,6.54,0.13,623,1,0
28.0,0,4,37160.0,2,3000.0,1,6.76,0.08,691,1,0
28.0,1,0,120819.0,2,10000.0,5,11.01,0.08,617,1,0
30.0,0,3,130540.0,0,8000.0,0,14.96,0.06,674,0,1
21.0,0,2,56255.0,0,6000.0,1,11.01,0.11,691,1,0
30.0,0,2,54918.0,0,4800.0,2,10.37,0.09,661,1,0
26.0,0,3,126827.0,2,20000.0,3,11.59,0.16,632,0,0
24.0,1,2,87222.0,0,5500.0,1,9.91,0.06,644,1,0
25.0,0,1,86195.0,0,2636.0,5,15.04,0.03,488,0,1
23.0,0,1,97884.0,0,12000.0,0,8.9,0.12,543,1,0
22.0,0,0,42622.0,1,5000.0,2,11.14,0.12,551,1,0
23.0,0,0,77822.0,0,10000.0,1,11.01,0.13,589,0,1
33.0,1,1,44208.0,0,12283.0,3,7.7,0.28,654,0,1
50.0,0,1,89963.0,2,7000.0,3,7.49,0.08,628,0,0
23.0,0,1,84748.0,0,6000.0,1,7.49,0.07,652,0,0
23.0,0,3,120368.0,0,20000.0,1,15.28,0.17,569,1,0
24.0,0,3,76387.0,0,8958.0,2,11.61,0.12,651,1,0
21.0,0,3,48939.0,0,6000.0,5,11.49,0.12,611,1,0
23.0,0,1,50436.0,2,6000.0,1,8.15,0.12,692,1,0
28.0,1,1,94698.0,2,24000.0,4,10.25,0.25,662,0,1
33.0,0,0,96952.0,2,24000.0,4,14.46,0.25,631,1,0
31.0,1,3,29966.0,1,6200.0,3,11.14,0.21,650,1,0
25.0,1,0,126827.0,2,12000.0,3,6.62,0.09,676,1,0
31.0,0,3,66836.0,0,10000.0,5,12.08,0.15,612,1,0
29.0,0,1,85080.0,2,6500.0,5,7.88,0.08,597,1,0
29.0,1,2,96347.0,2,7000.0,5,11.01,0.07,686,1,0
24.0,0,2,157090.0,0,24000.0,2,11.49,0.15,587,1,0
24.0,0,2,51264.0,2,11000.0,5,5.42,0.21,720,0,0
29.0,0,1,64404.0,0,12000.0,5,11.01,0.19,615,1,0
25.0,1,1,56333.0,0,7000.0,2,8.49,0.12,545,1,0
23.0,0,0,110932.0,2,7000.0,1,13.47,0.06,697,1,0
28.0,0,3,59923.0,0,15000.0,2,13.91,0.25,625,0,1
22.0,0,3,33047.0,0,9500.0,5,15.33,0.29,656,0,1
27.0,1,0,66667.0,0,20000.0,5,13.48,0.3,629,0,1
22.0,0,2,127276.0,0,6000.0,1,11.99,0.05,599,1,0
37.0,1,1,91197.0,0,10000.0,4,11.01,0.11,655,1,0
34.0,1,2,107947.0,2,10000.0,5,10.99,0.09,701,0,0
35.0,1,3,100583.0,0,11000.0,3,11.01,0.11,571,1,0
30.0,0,3,175247.0,2,25000.0,0,11.83,0.14,568,1,0
34.0,0,0,204989.0,2,5841.0,1,8.89,0.03,675,1,0
25.0,0,0,38685.0,0,6000.0,5,13.8,0.16,539,0,1
25.0,1,2,84973.0,2,14000.0,3,5.42,0.16,634,0,0
22.0,0,1,76666.0,0,4800.0,1,11.41,0.06,606,1,0
21.0,0,0,38841.0,0,15000.0,3,12.61,0.39,561,0,1
23.0,0,2,65613.0,0,20375.0,0,7.49,0.31,518,0,1
32.0,1,2,99508.0,0,4000.0,2,9.91,0.04,621,1,0
28.0,1,3,76145.0,0,5474.0,4,13.45,0.07,599,1,0
27.0,0,1,60379.0,2,9600.0,2,5.42,0.16,511,1,0
23.0,0,1,48610.0,0,5000.0,2,14.84,0.1,577,0,1
34.0,0,3,85237.0,2,4000.0,0,7.74,0.05,698,0,0
27.0,0,1,34636.0,0,10625.0,2,7.9,0.31,666,0,1
24.0,0,3,108547.0,0,5000.0,5,10.59,0.05,677,0,0
34.0,1,3,84752.0,0,2400.0,2,11.99,0.03,679,1,0
27.0,0,0,52547.0,1,15000.0,1,7.51,0.29,554,1,0
23.0,0,0,75164.0,2,13000.0,4,12.25,0.17,695,1,0
67.0,0,3,241126.0,2,3000.0,0,10.28,0.01,708,0,0
32.0,0,0,46693.0,0,10000.0,3,10.39,0.21,576,1,0
28.0,0,3,41924.0,2,8000.0,2,12.69,0.19,539,0,1
25.0,0,1,68345.0,0,8000.0,1,7.09,0.12,548,1,0
22.0,0,2,53955.0,0,10000.0,0,13.06,0.19,616,0,1
36.0,1,0,65505.0,0,7500.0,4,11.01,0.11,709,0,1
38.0,0,3,27199.0,0,2350.0,5,14.17,0.09,655,0,0
44.0,0,1,115034.0,2,7400.0,3,7.88,0.06,704,0,0
27.0,0,3,90953.0,2,8251.0,5,9.78,0.09,649,0,1
29.0,1,0,11409.0,0,3000.0,0,7.49,0.26,651,0,1
30.0,1,0,178651.0,0,10000.0,3,13.55,0.06,652,0,0
23.0,0,2,134101.0,2,10000.0,5,8.0,0.07,581,1,0
30.0,0,4,113906.0,1,14400.0,3,14.27,0.13,714,0,0
27.0,0,2,62749.0,1,15000.0,1,8.13,0.24,667,0,0
27.0,0,1,57080.0,0,13000.0,5,10.79,0.23,597,1,0
25.0,0,2,70588.0,0,10000.0,1,13.24,0.14,614,1,0
33.0,0,2,42744.0,0,4000.0,2,7.88,0.09,500,1,0
42.0,1,3,72854.0,2,8850.0,4,10.37,0.12,662,0,0
24.0,1,3,81020.0,1,7200.0,3,10.65,0.09,686,1,0
24.0,1,3,103039.0,0,15000.0,1,11.01,0.15,612,1,0
25.0,0,2,137594.0,0,17000.0,1,10.37,0.12,669,0,0
26.0,1,2,160273.0,2,12000.0,4,12.69,0.07,501,1,0
22.0,0,1,74965.0,2,13000.0,3,9.63,0.17,535,1,0
26.0,0,3,114761.0,2,5000.0,3,9.88,0.04,533,1,0
26.0,0,2,64710.0,0,6800.0,3,9.91,0.11,570,1,0
32.0,1,2,45187.0,0,8000.0,5,8.0,0.18,688,0,0
32.0,0,1,60203.0,0,12000.0,4,11.11,0.2,527,0,1
28.0,0,1,43211.0,2,13000.0,5,11.01,0.3,595,0,0
35.0,0,0,37074.0,0,6475.0,2,5.42,0.17,684,1,0
27.0,1,1,43857.0,2,4800.0,3,8.49,0.11,668,0,0
30.0,1,0,55162.0,0,6000.0,0,12.69,0.11,702,0,0
29.0,1,3,73084.0,2,6000.0,3,15.27,0.08,567,0,1
25.0,0,3,59792.0,0,12000.0,5,13.49,0.2,624,0,1
26.0,1,1,83371.0,2,6200.0,5,15.99,0.07,657,0,1
43.0,0,1,51801.0,2,7480.0,1,13.09,0.14,635,0,0
28.0,1,2,80448.0,0,5000.0,3,7.96,0.06,651,0,0
22.0,1,2,58689.0,0,6700.0,5,11.99,0.11,685,1,0
24.0,1,1,64220.0,0,9500.0,1,14.79,0.15,561,1,0
23.0,0,3,34657.0,0,4000.0,1,8.9,0.12,663,1,0
22.0,0,3,67037.0,0,2500.0,1,11.01,0.04,613,1,0
24.0,0,3,106605.0,2,1950.0,1,9.99,0.02,713,0,1
24.0,0,2,86264.0,1,10000.0,4,5.79,0.12,656,1,0
22.0,1,2,50348.0,0,3600.0,5,16.77,0.07,685,0,1
26.0,0,2,144904.0,2,8444.0,2,6.4,0.06,575,1,0
28.0,1,2,173388.0,1,7000.0,2,15.99,0.04,654,1,0
36.0,0,3,57494.0,2,4900.0,2,14.11,0.09,585,0,1
26.0,1,1,81590.0,0,8000.0,3,7.14,0.1,634,0,0
24.0,1,2,81416.0,2,16000.0,3,12.69,0.2,540,1,0
24.0,0,3,78149.0,0,5000.0,1,11.86,0.06,480,1,0
38.0,0,1,29770.0,0,7200.0,2,10.65,0.24,490,1,0
22.0,0,2,73179.0,2,12000.0,1,10.45,0.16,679,1,0
35.0,0,3,166235.0,2,14120.0,0,8.76,0.08,586,0,1
28.0,0,0,123944.0,0,15000.0,5,11.46,0.12,694,1,0
22.0,1,1,43013.0,0,1000.0,1,13.98,0.02,558,0,0
29.0,1,2,144803.0,2,4700.0,4,7.14,0.03,636,1,0
24.0,1,1,60869.0,2,4000.0,2,11.01,0.07,635,0,0
30.0,0,0,38305.0,2,2400.0,4,10.65,0.06,672,0,1
23.0,1,1,34931.0,0,1000.0,4,10.58,0.03,669,0,1
25.0,1,1,34772.0,2,5876.0,4,11.69,0.17,647,0,1
23.0,0,2,90783.0,0,7500.0,1,11.83,0.08,663,1,0
25.0,1,2,117172.0,0,6600.0,3,11.01,0.06,646,0,0
29.0,0,0,95803.0,0,11145.0,5,15.11,0.12,654,0,1
22.0,1,2,61014.0,0,18400.0,5,9.99,0.3,649,0,1
23.0,1,3,56461.0,0,1675.0,0,6.54,0.03,611,0,0
22.0,1,2,60926.0,0,10000.0,1,11.45,0.16,612,1,0
37.0,0,4,70660.0,0,7500.0,5,12.73,0.11,691,1,0
25.0,1,3,70035.0,2,25000.0,4,13.12,0.36,623,0,1
26.0,0,1,78533.0,2,2000.0,2,11.99,0.03,674,1,0
26.0,0,4,92809.0,2,6000.0,4,7.9,0.06,618,1,0
26.0,1,2,87572.0,0,10000.0,5,5.79,0.11,645,0,0
24.0,0,3,8277.0,0,1168.0,3,11.78,0.14,600,0,1
24.0,1,3,172452.0,2,25000.0,2,14.84,0.14,550,0,1
35.0,1,3,24071.0,0,1200.0,0,7.29,0.05,522,0,1
36.0,0,3,55014.0,0,19750.0,2,13.35,0.36,666,0,1
29.0,1,2,53271.0,0,4035.0,1,12.83,0.08,644,1,0
24.0,0,3,29659.0,1,7100.0,3,12.42,0.24,641,0,0
26.0,1,1,43739.0,0,1400.0,5,11.49,0.03,650,0,1
31.0,1,0,55035.0,2,7500.0,3,10.62,0.14,629,0,0
29.0,0,2,87715.0,2,10000.0,0,6.17,0.11,727,0,0
42.0,1,1,169370.0,2,14000.0,0,10.99,0.08,644,0,0
41.0,0,3,96842.0,1,17000.0,3,11.01,0.18,557,1,0
26.0,1,2,73071.0,0,17500.0,3,6.54,0.24,663,0,0
24.0,0,0,86232.0,0,13100.0,3,7.49,0.15,682,0,0
26.0,1,3,41547.0,0,7000.0,3,8.0,0.17,672,0,0
29.0,0,1,288843.0,2,12000.0,5,6.03,0.04,647,1,0
22.0,0,1,29111.0,2,2400.0,1,9.63,0.08,668,0,0
33.0,1,0,63181.0,0,10000.0,5,7.14,0.16,620,1,0
30.0,1,2,84795.0,0,7200.0,4,11.01,0.08,560,1,0
24.0,1,3,166459.0,2,24131.0,5,16.41,0.14,623,0,1
24.0,0,2,110222.0,2,16000.0,1,7.88,0.15,523,1,0
26.0,1,1,57856.0,0,25000.0,4,15.28,0.43,602,0,1
29.0,0,1,18906.0,0,2600.0,5,16.29,0.14,635,0,1
35.0,1,2,35560.0,0,1178.0,2,11.89,0.03,657,1,0
26.0,0,1,96801.0,0,12000.0,3,11.83,0.12,536,0,0
41.0,1,0,8000.0,0,2000.0,2,13.22,0.25,737,0,1
26.0,1,3,97186.0,2,10000.0,0,11.01,0.1,670,0,1
22.0,0,3,140004.0,2,12000.0,5,10.25,0.09,647,1,0
34.0,1,2,84934.0,2,17000.0,5,11.14,0.2,668,0,1
27.0,0,2,96876.0,0,9000.0,1,12.17,0.09,514,1,0
28.0,0,2,103146.0,0,8000.0,5,11.71,0.08,670,1,0
24.0,1,2,42910.0,0,18250.0,0,11.49,0.43,631,0,1
29.0,0,2,84934.0,2,5000.0,2,5.99,0.06,636,1,0
22.0,0,2,60958.0,2,7800.0,3,6.62,0.13,697,1,0
37.0,0,1,58301.0,1,3500.0,2,8.49,0.06,683,0,0
37.0,0,3,192877.0,2,24000.0,0,6.54,0.12,694,1,0
28.0,0,4,50568.0,0,14000.0,5,13.48,0.28,619,0,1
21.0,1,2,29934.0,0,10000.0,5,13.48,0.33,592,0,1
21.0,1,2,37083.0,0,10000.0,2,11.14,0.27,653,0,1
25.0,1,2,66806.0,0,8525.0,4,14.36,0.13,610,1,0
22.0,0,1,114994.0,2,7200.0,5,11.49,0.06,577,1,0
31.0,0,1,65627.0,0,20000.0,5,14.03,0.3,674,0,1
39.0,0,1,76600.0,0,13200.0,3,9.88,0.17,643,1,0
24.0,0,2,144841.0,2,20000.0,4,11.7,0.14,604,1,0
27.0,0,3,108839.0,0,10000.0,1,10.0,0.09,477,1,0
24.0,0,1,109017.0,1,8197.0,0,11.01,0.08,563,1,0
22.0,1,0,60808.0,0,11400.0,1,17.58,0.19,664,1,0
31.0,0,0,67747.0,2,4000.0,3,12.73,0.06,623,0,0
26.0,1,0,130639.0,2,8000.0,4,5.42,0.06,683,1,0
23.0,0,3,29847.0,0,4108.0,5,11.3,0.14,590,1,0
25.0,0,1,65869.0,0,2500.0,0,13.98,0.04,632,0,0
28.0,0,0,93832.0,2,5983.0,2,7.45,0.06,711,1,0
23.0,0,2,66788.0,0,4000.0,2,9.32,0.06,628,1,0
23.0,0,1,36803.0,0,10000.0,4,15.27,0.27,608,0,1
26.0,0,3,102833.0,2,6000.0,5,9.88,0.06,546,1,0
24.0,1,1,27248.0,0,3000.0,0,10.33,0.11,589,1,0
30.0,1,3,60879.0,1,10000.0,5,15.95,0.16,673,1,0
36.0,1,1,73402.0,0,2500.0,4,11.49,0.03,628,0,1
23.0,0,2,68073.0,0,8000.0,1,10.0,0.12,674,1,0
26.0,1,1,65919.0,0,6600.0,0,11.97,0.1,601,0,0
25.0,0,2,133059.0,2,5500.0,5,6.62,0.04,594,1,0
33.0,1,2,62900.0,2,10641.0,3,9.9,0.17,682,0,0
24.0,1,3,24907.0,0,7936.0,2,13.03,0.32,646,0,1
30.0,0,4,30061.0,0,8000.0,5,13.16,0.27,630,0,1
23.0,1,0,98123.0,2,5000.0,2,11.01,0.05,618,1,0
23.0,1,0,73736.0,0,4200.0,0,15.58,0.06,666,0,1
25.0,1,0,91306.0,2,5000.0,3,12.75,0.05,665,1,0
36.0,0,3,63391.0,1,3000.0,3,9.63,0.05,657,0,0
25.0,1,0,148653.0,0,12000.0,2,10.75,0.08,670,0,0
23.0,1,0,105970.0,2,10000.0,1,7.29,0.09,652,1,0
24.0,0,3,36931.0,0,6000.0,3,12.42,0.16,578,1,0
26.0,0,3,36913.0,0,8000.0,1,12.61,0.22,614,1,0
24.0,0,1,65717.0,0,12500.0,3,14.5,0.19,613,0,1
22.0,0,3,15013.0,2,1500.0,1,14.84,0.1,688,0,0
32.0,0,3,422975.0,2,10558.0,3,15.75,0.02,618,0,0
22.0,1,2,55064.0,0,5000.0,1,11.11,0.09,551,1,0
23.0,0,3,50084.0,2,6000.0,1,6.03,0.12,606,0,0
22.0,1,3,55095.0,0,3000.0,1,11.01,0.05,707,1,0
23.0,0,1,22956.0,0,7000.0,4,8.76,0.3,588,0,1
27.0,0,2,151005.0,2,8000.0,1,6.76,0.05,629,1,0
24.0,0,2,36822.0,0,10000.0,0,19.29,0.27,695,0,1
29.0,0,3,71321.0,0,4800.0,5,11.49,0.07,562,0,1
25.0,0,2,44029.0,0,12000.0,2,5.88,0.27,674,0,1
30.0,1,2,131306.0,2,15000.0,2,16.35,0.11,654,0,1
29.0,1,3,75800.0,0,6000.0,4,10.8,0.08,558,1,0
23.0,1,3,71255.0,0,20000.0,5,7.66,0.28,654,0,1
32.0,0,3,81271.0,0,15000.0,2,11.01,0.18,626,0,1
22.0,0,1,84928.0,2,15000.0,5,12.21,0.18,659,0,0
23.0,1,1,97293.0,0,1358.0,1,8.96,0.01,640,1,0
34.0,0,0,162860.0,2,8000.0,1,9.32,0.05,663,1,0
25.0,0,0,193300.0,2,20000.0,3,13.47,0.1,531,1,0
26.0,0,1,111152.0,0,14200.0,0,10.99,0.13,660,1,0
21.0,0,3,43039.0,0,7200.0,5,12.69,0.17,647,0,0
29.0,1,1,118599.0,2,20000.0,3,8.96,0.17,597,1,0
43.0,0,3,117832.0,0,24000.0,0,10.99,0.2,673,0,0
24.0,1,2,26888.0,1,4403.0,1,12.55,0.16,689,0,0
41.0,1,1,47966.0,0,5000.0,3,11.01,0.1,583,1,0
39.0,0,3,84921.0,2,12500.0,3,7.9,0.15,597,1,0
26.0,0,1,61716.0,0,4050.0,4,7.88,0.07,586,0,0
33.0,1,3,62018.0,0,5000.0,2,14.96,0.08,605,0,1
23.0,1,0,67281.0,2,12375.0,1,9.91,0.18,629,1,0
24.0,0,2,138856.0,2,12000.0,1,6.4,0.09,645,0,0
29.0,0,3,76355.0,0,9000.0,2,14.31,0.12,643,1,0
34.0,0,2,85146.0,2,14000.0,0,16.4,0.16,651,0,0
22.0,1,2,113829.0,0,11800.0,3,13.99,0.1,609,0,0
32.0,1,2,103101.0,2,10000.0,0,7.74,0.1,669,0,0
25.0,0,2,75268.0,0,20240.0,2,16.87,0.27,700,0,1
23.0,0,3,91013.0,1,21000.0,0,12.42,0.23,655,1,0
24.0,0,3,69484.0,2,25000.0,1,9.86,0.36,611,1,0
22.0,1,2,60982.0,2,22000.0,1,9.91,0.36,678,0,0
22.0,1,3,60630.0,2,10000.0,3,10.36,0.16,574,1,0
34.0,0,2,54400.0,2,9600.0,5,7.49,0.18,696,1,0
27.0,0,2,109172.0,2,20000.0,0,16.7,0.18,650,0,0
23.0,0,1,154495.0,2,3000.0,3,14.72,0.02,595,0,0
26.0,0,3,151089.0,2,20000.0,5,13.11,0.13,535,1,0
23.0,1,2,28733.0,0,5471.0,3,6.1,0.19,583,0,0
23.0,0,2,53717.0,0,10000.0,0,12.74,0.19,630,1,0
24.0,1,2,123548.0,2,7200.0,2,11.01,0.06,670,1,0
21.0,0,1,29605.0,0,4000.0,2,14.84,0.14,634,0,1
46.0,1,3,87268.0,0,17000.0,0,8.88,0.19,573,1,0
24.0,0,1,49064.0,2,2500.0,3,9.99,0.05,557,1,0
29.0,1,3,113686.0,2,8400.0,5,11.01,0.07,666,0,1
25.0,1,0,61520.0,0,10000.0,5,11.7,0.16,559,1,0
22.0,0,0,39534.0,0,1820.0,1,12.6,0.05,701,0,1
27.0,0,3,53623.0,0,16000.0,1,10.78,0.3,659,0,1
25.0,1,1,76193.0,1,15000.0,5,17.58,0.2,576,1,0
24.0,0,3,88554.0,0,10000.0,0,11.26,0.11,565,0,0
26.0,1,0,68400.0,0,5100.0,0,8.0,0.07,677,1,0
22.0,0,2,46412.0,2,1950.0,1,7.37,0.04,585,1,0
32.0,1,0,54875.0,0,3000.0,2,11.67,0.05,701,0,0
30.0,1,1,87262.0,2,9600.0,1,14.17,0.11,629,1,0
28.0,0,3,228914.0,2,21999.0,3,6.91,0.1,659,1,0
26.0,0,3,106501.0,2,3800.0,4,6.54,0.04,588,0,0
24.0,0,1,45352.0,0,9157.0,2,11.0,0.2,688,1,0
29.0,1,2,38266.0,0,18000.0,5,10.75,0.47,647,0,1
29.0,0,2,35107.0,0,4000.0,5,10.59,0.11,676,1,0
23.0,1,1,42867.0,0,7000.0,1,10.99,0.16,644,0,0
24.0,0,1,48960.0,1,2000.0,0,14.35,0.04,640,1,0
24.0,0,1,450743.0,2,20000.0,5,11.41,0.04,595,1,0
36.0,1,1,52696.0,0,13600.0,5,15.58,0.26,589,0,1
24.0,0,2,180751.0,2,15000.0,2,11.01,0.08,684,1,0
25.0,0,2,28321.0,0,7000.0,4,9.91,0.25,680,0,1
23.0,0,2,121014.0,0,10000.0,0,11.46,0.08,614,1,0
22.0,1,2,87616.0,2,3500.0,5,5.42,0.04,685,1,0
25.0,0,2,87815.0,2,11249.0,2,7.23,0.13,531,1,0
27.0,1,0,60763.0,0,15000.0,3,16.77,0.25,578,1,0
37.0,1,3,55036.0,0,8000.0,5,9.63,0.15,670,1,0
38.0,0,3,132929.0,2,16000.0,2,11.99,0.12,535,1,0
24.0,0,1,86007.0,2,20000.0,1,11.36,0.23,567,0,0
23.0,1,0,73162.0,0,3000.0,5,8.32,0.04,659,1,0
39.0,1,0,166743.0,2,20000.0,4,11.14,0.12,571,0,1
23.0,1,2,84865.0,0,22500.0,5,14.27,0.27,655,0,1
38.0,1,1,15187.0,1,4800.0,1,7.29,0.32,540,0,1
25.0,0,2,54870.0,0,7000.0,1,10.99,0.13,709,0,0
23.0,1,2,34286.0,2,5225.0,4,14.84,0.15,601,0,1
24.0,0,2,89108.0,0,12000.0,3,12.48,0.13,604,0,1
29.0,1,2,72963.0,0,25000.0,0,19.5,0.34,613,0,1
22.0,0,3,53962.0,0,5000.0,1,8.9,0.09,699,0,0
28.0,0,3,109204.0,0,16000.0,3,12.68,0.15,663,1,0
24.0,0,1,28759.0,0,1559.0,2,9.63,0.05,589,1,0
26.0,0,1,125581.0,0,12000.0,0,12.21,0.1,512,1,0
29.0,0,3,68334.0,0,7725.0,1,13.75,0.11,682,0,1
22.0,0,2,55472.0,0,6200.0,1,13.79,0.11,665,1,0
22.0,1,2,84856.0,0,7550.0,3,7.51,0.09,706,1,0
29.0,0,3,66276.0,2,10886.0,0,7.77,0.16,685,0,0
24.0,0,3,58420.0,0,6000.0,2,12.53,0.1,639,1,0
24.0,0,3,27272.0,1,3000.0,1,16.0,0.11,715,0,0
22.0,0,2,49117.0,0,8000.0,5,11.36,0.16,718,1,0
25.0,1,1,39717.0,2,3607.0,2,10.01,0.09,683,1,0
29.0,1,2,29137.0,2,6077.0,4,14.06,0.21,601,0,1
22.0,0,1,73789.0,2,18000.0,2,13.72,0.24,653,1,0
30.0,0,2,44396.0,0,8000.0,0,11.36,0.18,596,0,0
25.0,0,3,57546.0,0,21250.0,3,10.99,0.37,610,0,1
24.0,0,3,145043.0,2,25000.0,1,18.53,0.17,668,0,0
25.0,0,2,117215.0,0,20000.0,0,11.01,0.17,672,0,1
24.0,1,1,118733.0,0,16000.0,5,15.78,0.13,603,0,1
23.0,0,3,34426.0,0,5000.0,3,8.94,0.15,675,1,0
